"FirstAuthor","YearOfPublication","StudyName","StudyDesign","StudyDesignGroup","Exposure","SpecificExposure","IfExposureIsCategoricalReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureCutoff","ExposureGroup","ToReverseReferenceGroup","CodeLargerComparisonGroup","LargerComparisonGroup","Outcome","SpecificOutcome","OutcomeSubgroup","OutcomeGroup","SpecficOutcomeGroup","AgeAtOutcomeGroup","AgeAtOutcome","DiseaseRisk","DiseaseRiskGroup","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotentialConflictOfInterest","RiskOfBiasDueToPotentialConflictOfInterestGroup","NumberExposedInCases","NoNonExposedInCases","NumberExposedInControls","NumberNonExposedInControls","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Cl(Lower)","95%Cl(Upper)","Pvalue","OtherInformationUnadjustedAnalysis","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","Adj95%Cl(Lower)","Adj95%Cl(Upper)","AdjPValue","OtherInformationAdjustedAnalysis","same as column z . AR CAN BE REMOVED","FinalEffect","UnadjInOr(RawNumbersOrUnadjOrRrHr)","Unadjse(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOrOriginal","AdjSe(InOr)","FinalInOrOriginal","FinalSe(InOr)","UnadjInOr","AdjInOr","FinalInOr"
"Moore","2004","PROJECT VIVA ","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF",">=3","<3","3","3to4","1",">=3","","AD","Ever AD","","atopic","AD","0to4","6.5","normal/low","","Unclear","Other","Low","Low","","","","","OR","1.06","0.75","1.5","","","","","","","ns","infant feeding...none ofthese variables were associated with atopic dermatitis in multivariate models (data not shown). (page 740 2nd column)","Low","OR","0.06","0.18","","","0.06","0.18","-0.06","","-0.06"
"Kull","2002","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2",">=4","","AD","Ever AD","","atopic","AD","0to4","2","normal/low","normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.85","0.71","1","","","Low","OR","-0.13","0.09","-0.16","0.08","-0.16","0.08","-0.13","-0.16","-0.16"
"Kerkhof","2003","PIAMA","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<=3",">3","3","3to4","2",">=3","","AD","AD.12mo","","atopic","AD","0to4","1","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","","","","NS","","OR","0.6","0.3","1.2","NS","","Low","OR","","","-0.51","0.35","-0.51","0.35","","-0.51","-0.51"
"Sahakyan","2006","Sahakyan  A. ","CASE CONTROL","retrospective","Duration of exclusive breastfeeding","eBF","?6","<6","6","ge5","1",">=6","","AD","","","atopic","AD","5to14","7","normal/low","low","Unclear","Other","Low","Low","","","","","OR","","","","","","OR","2","0.9","4.5","0.08","","Low","OR","","","0.69","0.41","0.69","0.41","","-0.69","-0.69"
"Moore","2004","PROJECT VIVA ","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF",">=6","<6","6","ge5","1",">=6","","AD","Ever AD","","atopic","AD","0to4","0.5","normal/low","","Unclear","Other","Low","Low","","","","","OR","0.96","0.64","1.43","","","","","","","ns","infant feeding...none ofthese variables were associated with atopic dermatitis in multivariate models (data not shown). (page 740 2nd column)","Low","OR","-0.04","0.2","","","-0.04","0.2","0.04","","0.04"
"Moore","1985","Moore","prospective cohort (of RCT)","prospective","DURATION OF EXCLUSIVE BF","eBF","<1",">=1","1","0to2","2",">=1","","AD","eczema at 3 months","","atopic","AD","0to4","0.25","high","high","Low","Low","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.55","0.26","","","-0.55","0.26","-0.55","","-0.55"
"Kull","2009","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2",">=4","","AD","AD.12mo","","atopic","AD","5to14","8","normal/low","normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.89","0.77","1.03","","","Low","OR","","","-0.12","0.07","-0.12","0.07","","-0.12","-0.12"
"Peters","1987","British Cohort Study (BCS70)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF",">=0.25","<0.25","0","0to2","1",">0","","AD","Ever AD","","atopic","AD","5to14","5","normal/low","normal","Unclear","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.18","0.08","","","-0.18","0.08","0.18","","0.18"
"Flohr","2011","ISAAC Phase 2","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0",">4","0","0to2","2",">=4","","AD","Eczema Ever","","atopic","AD","5to14","12","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","","","","","","OR","1.05","0.89","1.24","","","Low","OR","","","0.05","0.08","0.05","0.08","","0.05","0.05"
"Siltanen","2003","Saarinen KM  1999 (#1282)","prospective cohort (of RCT)","prospective","duration of exclusive breastfeeding","eBF","<3",">=3","3","3to4","2","",">=3","Allergic Sensitization","Total IgE","","atopic","Total IgE","0to4","4","normal/low","normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.26","0.29","","","0.26","0.29","0.26","","0.26"
"Kull","2004","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<=2","=>5","2","0to2","2","",">=5","Allergic Sensitization","IgE-aeroallergen","sIgE-AEROALLERGEN","atopic","AEROALLERGEN","0to4","4","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.93","0.7","1.22","","","Low","OR","","","-0.07","0.14","-0.07","0.14","","-0.07","-0.07"
"Nwaru","2010","DIPP  (Type 1 Diabetes Prediction and Prevention Project)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<0.92","> 3.0","1","0to2","2","",">=3","Allergic Sensitization","IgE-aeoallergen","sIgE-AEROALLERGEN","atopic","AEROALLERGEN","5to14","5","normal/low","normal","Low","Low","Low","Low","","","","","OR","1.29","0.9","1.84","","","OR","1.3","0.85","1.98","","","Low","OR","0.25","0.18","0.26","0.21","0.26","0.21","0.25","0.26","0.26"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2","",">=4","Allergic Sensitization","IgE-aeroallergen","sIgE-AEROALLERGEN","atopic","AEROALLERGEN","5to14","8","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.81","0.63","1.03","","","Low","OR","","","-0.21","0.12","-0.21","0.12","","-0.21","-0.21"
"Sears","2002","Dunedin Multidisciplinary Health and Development Research Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3",">=3","3","3to4","2","",">=3","Allergic Sensitization","SPT-any","SPT-AEROALLERGEN","atopic","AEROALLERGEN","5to14","13","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","1.55","1.13","2.12","","","OR","1.94","1.42","2.65","","","Low","OR","0.44","0.16","0.66","0.16","0.66","0.16","0.44","0.66","0.66"
"Kramer","2009","PROBIT","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","3","6","3","3to4","2","",">=6","Allergic Sensitization","SPT-any","SPT-AEROALLERGEN","atopic","AEROALLERGEN","5to14","6.5","normal/low","normal","Low","Low","Low","Low","","","","","","","","","NS","","OR","1.1","0.8","1.3","","","Low","OR","0.19","0.1","0.1","0.09","0.1","0.09","0.19","0.1","0.1"
"Strassburger","2010","Strassburger  Sao Leopoldo Brazil","prospective cohort","prospective","duration of exclusive breastfeeding","eBF",">=6","<6","6","ge5","1","",">=6","ALLERGIC SENSITISATION","SPT-common","SPT-AEROALLERGEN","atopic","AEROALLERGEN","0to4","3.5","normal/low","normal","Low","Low","Low","Low","","","","","OR","1.72","1.05","2.81","0.028","","OR","1.61","0.94","2.75","0.077","","Low","OR","0.54","0.25","0.48","0.27","0.48","0.27","-0.54","-0.48","-0.48"
"Cogswell","1987","Cogswell","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<=1",">3.5","1","0to2","2","",">1","Allergic Sensitization","SPT-any","SPT-ANY","atopic","ANY","5to14","5","high","high","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.59","0.66","","","0.59","0.66","0.59","","0.59"
"Elliott","2008","ALSPAC","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2","",">=4","Allergic Sensitization","SPT-ANY","SPT-ANY","atopic","ANY","5to14","7","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","1.14","0.9","1.44","","","OR","1.07","0.84","1.38","","","Low","OR","0.13","0.12","0.07","0.13","0.07","0.13","0.13","0.07","0.07"
"Huurre","2008","Huurre","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<2",">=2","2","0to2","2","",">=2","Allergic Sensitization","SPT-any","SPT-ANY","atopic","ANY","0to4","1","high","high","Unclear","Other","Low","Low","","","","","","","","","","","OR","3.43","1.19","9.89","0.018","Exclusive breastfeedingfollowed the same pattern (Fig. 1b)  and a significantinteraction between the allergy status of the mother andthe duration of exclusive breastfeeding (interaction testP = 0.025) was detected.","Low","OR","","","1.23","0.54","1.23","0.54","","1.23","1.23"
"Arshad","1992","Isle of Wight Prevention Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2","",">=3","Allergic Sensitization","STP-any","SPT-ANY","atopic","ANY","0to4","1","normal/low","normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.21","0.65","","","0.21","0.65","0.21","","0.21"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2","",">=4","Allergic Sensitization","IgE-any","sIgE-ANY","atopic","ANY","5to14","8","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.79","0.64","0.99","","","Low","OR","","","-0.24","0.12","-0.24","0.12","","-0.24","-0.24"
"Mihrshahi","2007","Childhood ASTHMA Prevention Study (CAPS)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2","",">=3","Allergic Sensitization","SPT-any","SPT-ANY","atopic","ANY","5to14","5","high","high","Low","Low","Low","Low","","","","","OR","1.55","1.04","2.31","","","OR","1.36","0.9","2.07","","","Low","OR","0.44","0.2","0.31","0.21","0.31","0.21","0.44","0.31","0.31"
"Siltanen","2003","Saarinen KM  1999 (#1282)","prospective cohort (of RCT)","prospective","duration of exclusive breastfeeding","eBF","<3",">=3","3","3to4","2","",">=3","Allergic Sensitization","SPT-any","SPT-ANY","atopic","ANY","0to4","4","normal/low","normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.56","0.27","","","-0.56","0.27","-0.56","","-0.56"
"Arshad","1992","Isle of Wight Prevention Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2","",">=3","Allergic Sensitization","STP-cow's milk","SPT-CM","atopic","CM","0to4","1","normal/low","normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.6","0.55","","","0.6","0.55","0.6","","0.6"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2","",">=4","Allergic Sensitization","IgE-cow milk","sIgE-CM","atopic","CM","5to14","8","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.78","0.55","1.07","","","Low","OR","","","-0.25","0.16","-0.25","0.16","","-0.25","-0.25"
"Schoetzau","2002","GINI (COHORT)","prospective cohort","prospective","duration of exclusive breastfeeding","eBF","<4",">=4","4","3to4","2","",">=4","Allergic Sensitization","IgE-Cow's milk","sIgE-CM","atopic","CM","0to4","1","high","high","High","Other","Low","Low","","","","","OR","","","","0.457","","OR","1.3","0.74","2.28","","Factors without influence on theexposure or outcome variables were excludedfrom the multiple logistic regression model in abackward stepping procedure.","Low","OR","0.2","0.27","0.26","0.29","0.26","0.29","0.2","0.26","0.26"
"Arshad","1992","Isle of Wight Prevention Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2","",">=3","Allergic Sensitization","STP-egg","SPT-EGG","atopic","EGG","0to4","1","normal/low","normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.09","0.38","","","0.09","0.38","0.09","","0.09"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2","",">=4","Allergic Sensitization","IgE-egg","sIgE-EGG","atopic","EGG","5to14","8","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","1.3","0.81","2.09","","","Low","OR","","","0.26","0.24","0.26","0.24","","0.26","0.26"
"Nwaru","2010","DIPP  (Type 1 Diabetes Prediction and Prevention Project)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<0.92","> 3.0","1","0to2","2","",">=3","Allergic Sensitization","IgE-foodallergen","sIgE-FOOD","atopic","FOOD","5to14","5","normal/low","normal","Low","Low","Low","Low","","","","","OR","1.33","0.87","2.02","","","OR","1.61","0.98","2.65","","","Low","OR","0.29","0.21","0.48","0.25","0.48","0.25","0.29","0.48","0.48"
"Van Asperen","1983","Van Asperen","prospective cohort","prospective","duration of exclusive breastfeeding","eBF","> 2","< 2","2","0to2","1","",">=2","Allergic Sensitization","SPT-FOOD","SPT-FOOD","atopic","FOOD","0to4","1","high","high","High","Other","Low","Low","","","","","","","","","","no significant difference/Ten (19%) of the fifty-four infantsexclusively breast fed for 2 months developed positive skin tests to foods which werenot significantly different to three (12%) ofthe twenty-five infants not breast fed.","","","","","","","Low","OR","-0.51","0.71","","","-0.51","0.71","0.51","","0.51"
"Hong","2011","Boston Birth Cohort","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","0",">=4","0","0to2","2","",">=4","Allergic Sensitization","IgE- any food allergen","sIgE-FOOD","atopic","FOOD","0to4","2.5","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","1.6","1.1","2.4","0.22","","OR","1.6","1.1","2.5","0.029","Because FS status defined at the age of 2 years or greater mightbe more stable and persistent  we then stratified the total sampleinto 2 groups according to the age when FS status was defined.Weobserved that the positive association between breast-feeding andFS was stronger in children aged 2 or more years (OR  2.3; 95%CI  1.3-4.1) than in those aged less than 2 years (OR  1.1; 95% CI 0.7-1.8). There was no age?breast-feeding interaction (P 5.13).Similar results were found for exclusive breast-feeding duration","Low","OR","0.47","0.21","0.47","0.23","0.47","0.23","0.47","0.47","0.47"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2","",">=4","Allergic Sensitization","IgE-foodallergen","sIgE-FOOD","atopic","FOOD","5to14","8","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.93","0.72","1.21","","","Low","OR","","","-0.07","0.13","-0.07","0.13","","-0.07","-0.07"
"Van Asperen","1983","Van Asperen","prospective cohort","prospective","duration of exclusive breastfeeding","eBF","> 4","< 4","4","3to4","1","",">=4","Allergic Sensitization","SPT-FOOD","SPT-FOOD","atopic","FOOD","0to4","1","high","high","High","Other","Low","Low","","","","","","","","","","no significant difference/Therewas also no difference for infants breast fed exclusively for 4 months compared to thosereceiving cow's milk and/or solids  the figures being three (16%) and ten (17%)respectively.","","","","","","","Low","OR","0.08","0.72","","","0.08","0.72","-0.08","","-0.08"
"Kull","2010","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2","",">=4","Allergic Sensitization","IgE-peanut","sIgE-PEANUT","atopic","PEANUT","5to14","8","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","1.01","0.68","1.5","","","Low","OR","","","0.01","0.2","0.01","0.2","","0.01","0.01"
"Poikonen","2008","Poikonen  S.","CASE CONTROL","retrospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2","",">=3","ALLERGIC SENSITISATION","SPT-turnip rape and oilseed rape","SPT-turnip rape and oilseed rape","atopic","turnip-oilseed rape","0to4","2.5","normal/low","normal","High","Other","Low","Low","50","14","39","25","OR","2.22","1.01","4.88","0.047","","OR","","","","","","Low","OR","0.8","0.4","","","0.8","0.4","0.8","","0.8"
"Fergusson","1983","Chirstchurch Child Development Study","prospective cohort","prospective","SOLID FOOD","solid","<4","4","4","3to4","2","medium","4","Asthma-Wheeze","Ever Asthma(DD)","","atopic","wheeze.rec","0to4","4","normal","low/normal","Other","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.13","0.26","","","-0.13","0.26","-0.13","","-0.13"
"Snijders","2008","KOALA","prospective cohort","prospective","SOLID FOOD","solid","3",">7","3","3to4","2","medium","4TO6","Asthma-Wheeze","recurrent wheezing","","atopic","wheeze.rec","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.74","0.74","4.07","","","OR","3.52","1.42","8.73","","","Low","OR","0.55","0.43","1.26","0.46","1.26","0.46","0.55","1.26","1.26"
"Wilson","1998","Dundee infant feeding study","prospective cohort","prospective","solid food","solid",">=4","<4","4","3to4","1",">=4",">=4","Asthma-Wheeze","Ever Asthma(DD)","","atopic","wheeze.rec","5to14","7.3","normal","low/normal","Other","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.41","0.27","","","0.41","0.27","-0.41","","-0.41"
"Mihrshahi","2007","Childhood ASTHMA Prevention Study (CAPS)","prospective cohort","prospective","SOLID FOOD","solid",">3","<3","3","3to4","1",">=3",">=3","Asthma-Wheeze","Ever Asthma(DD)","","atopic","wheeze.rec","5to14","5","high","high","Low","Low","Low","Low","","","","","OR","0.7","0.4","1.22","","","OR","0.65","0.36","1.15","","","Low","OR","-0.36","0.28","-0.43","0.29","-0.43","0.29","0.36","0.43","0.43"
"Larsson","2008","Dampness in Buildings and Health (DBH)","prospective cohort","prospective","solid food","solid",">6 ","<3","3","3to4","1","long",">=6","Asthma-Wheeze","              Doctor diagnosed asthma       and/or wheezing ever  in 2005 No Doctor diagnosed asthma and no wheezing ever at baseline","","atopic","wheeze.rec","5to14","9","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.36","0.59","3.14","","5-YRS INCEDENCE","OR","","","","ns","","Low","OR","0.31","0.43","","","0.31","0.43","-0.31","","-0.31"
"Zutavern","2008","LISA STUDY ","prospective cohort","prospective","First introduction of any solids","solid","Solids introduced by 4 months","4-6 months","4","3to4","2","medium","4TO6","Asthma-Wheeze","DD Asthma","","atopic","wheeze.rec","5to14","6","normal","low/normal","Low","Low","Low","Low","","","","","","","","","","","OR","1.1","0.36","3.32","","","Low","OR","","","0.1","0.56","0.1","0.56","","0.1","0.1"
"Kurukulaaratchy","2004","The Isle of Wight Prevention Study","prospective cohort","prospective","SOLID FOOD","solid","<3","3","3","3to4","2",">=3",">=3","Asthma-Wheeze","early-onset persistentwheezers","","atopic","wheeze.rec","5to14","10","normal","low/normal","Other","Other","Low","Low","","","","","OR","1.77","1.09","2.88","0.02","","","","","","NS","non statistically significant","Low","OR","0.57","0.25","","","0.57","0.25","0.57","","0.57"
"Karunasekera","2001","Karunasekera  K. A.","CASE CONTROL","retrospective","SOLID FOOD","solid","?4","?3","3","3to4","1",">=3",">=3","Asthma-Wheeze","Doctor diagnosed Asthma","","atopic","wheeze.rec","5to14","10","normal","low/normal","Other","Other","Low","Low","49","251","54","246","OR","0.9","0.6","1.4","","","OR","","","","ns","","Low","OR","-0.11","0.23","","","-0.11","0.23","0.11","","0.11"
"Hide","1981","The Isle of Wight Prevention study","prospective cohort","prospective","SOLID FOOD OR CEREAL","solid",">=3","<3","3","3to4","1",">=3",">=3","Asthma-Wheeze","Ever Asthma","","atopic","wheeze","0to4","1","normal","low/normal","Other","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.64","0.32","","","-0.64","0.32","0.64","","0.64"
"Van Asperen","1983","Van Asperen","prospective cohort","prospective","SOLID FOOD","solid","> 4","< 4","4","3to4","1",">=4",">=4","WHEEZE","","","atopic","wheeze","0to4","1.3","high","high","Other","Other","Low","Low","","","","","","","","","","no significant difference","","","","","","","Low","OR","0.31","0.52","","","0.31","0.52","-0.31","","-0.31"
"Wilson","1998","Dundee infant feeding study","prospective cohort","prospective","solid food","solid",">=4","<4","4","3to4","1",">=4",">=4","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","5to14","7.3","normal","low/normal","Other","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.91","0.31","","","0.91","0.31","-0.91","","-0.91"
"Zutavern","2008","LISA STUDY ","prospective cohort","prospective","First introduction of any solids","solid","Solids introduced by 4 months","4-6 months","4","3to4","2","medium","4TO6","Asthma-Wheeze","Parent report of wheezing","","atopic","wheeze","5to14","6","normal","low/normal","Other","Other","Low","Low","","","","","","","","","","","OR","0.76","0.46","1.27","","","Low","OR","","","-0.27","0.26","-0.27","0.26","","-0.27","-0.27"
"Ziegler","2003","German BABYDIAB","prospective cohort","prospective","Total BF duration","solid","<3",">=3","3","3to4","2","",">=3","DM","IAA  GADA or IA2 >99th percentile","TIDM-Ab","autoim","TIDM","auto","5","high","high","Low","Low","Low","Low","","","","","Hazard ratio","3.333333333","0.434782609","25","","","Hazard ratio","3.333333333","0.4","20","0.3","","Low","HR","1.2","1.03","1.2","0.91","1.2","0.91","1.2","1.2","1.2"
"Kostraba","1993","COLORADO DIABETES REGISTRY","case control","retrospective","SOLID FOOD","solid","3+","0-3","3","3to4","1",">=3",">=3","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","<18","normal","low/normal","Low","Low","Low","Low","","","","","OR","2.6","1.3","5.3","","","OR","2.5","1.4","4.3","","","Low","OR","0.96","0.36","0.92","0.28","0.92","0.28","-0.96","-0.92","-0.92"
"Stene","2003","Norwegian Childhood Diabetes Study Group","CASE CONTROL","retrospective","","solid","  ?3","?5","3","3to4","2","medium",">=5","TIDM","Medical diagnosis","TIDM","autoim","TIDM","auto","8.8","normal","low/normal","Other","Other","Low","Low","135","119","466","318","OR","0.77","0.58","1.03","0.08","p for trend ","OR","1.45","0.95","2.21","0.12","p for trend","Low","OR","-0.26","0.15","0.37","0.22","0.37","0.22","-0.26","0.37","0.37"
"Visalli","2003","EURODIAB Italy","CASE CONTROL","retrospective","WEANING'","solid","?3","<3","3","3to4","1",">=3",">=3","DM","T1DM diagnosis using WHO criteria","TIDM","autoim","TIDM","auto","12","normal","low/normal","Other","Other","Low","Low","","","","","OR","1.81","1.06","3.07","","","","","","","","","Low","OR","0.59","0.27","","","0.59","0.27","-0.59","","-0.59"
"Frederikson","2012","DAISY (Diabetes Autoimmunity Study in the Young)","prospectvie cohort","prospective","Timing of specific food introduction - ANY SOLID FOOD","solid","04-May","0-4","4","3to4","1","medium","4TO5","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","<7","high","high","Other","Other","Low","Low","","","","","HR","","","","","","HR","2.03","1.09","3.77","","","Low","HR","","","0.71","0.32","0.71","0.32","","-0.71","-0.71"
"Dahlquist","2002","EURODIAB Substudy 2 Study Grp Austria  Latvia  Lithuania  Luxembourg and UK","CASE CONTROL","retrospective","AGE AT INTRODUCTION solid foods","solid","?3","<3","3","3to4","1",">=3",">=3","TIDM","T1DM diagnosed <15yrs","TIDM","autoim","TIDM","auto","<15","normal","low/normal","Other","Other","Low","Low","","","","","OR","0.74","0.57","0.95","","","","","","","","Adjustment for several confounding variables [maternal age at delivery  neonatal jaundice  neonatal resp infectio  asthma  vitD supplementation] did not alter these results significantly","Low","OR","-0.3","0.13","","","-0.3","0.13","0.3","","0.3"
"Venter","2009","VENTER  C","prospective cohort","prospective","solid food","solid",">4","<4","4","3to4","1",">=4",">=4","Food Allergy","any","","atopic","FA-ANY","0to4","1","normal","low/normal","Other","Other","Low","Low","","","","","OR","0.41","0.18","0.89","","","","","","","","","Low","OR","-0.89","0.4","","","-0.89","0.4","0.89","","0.89"
"Hummel","2006","German BABYDIAB","prospective cohort","prospective","SOLID FOOD","solid",">3","<3","3","3to4","1",">=3",">=3","CD","Antibodies to TGC ","CD-Ab","autoim","CD-Ab","auto","8","high","high","Other","Other","Low","Low","","","","","HR","1.8","0.5","6","0.3","","","","","","","Hazard ratios are from univariate analysis unless otherwisestated.","Low","HR","0.59","0.61","","","0.59","0.61","-0.59","","-0.59"
"Hide","1981","The Isle of Wight Prevention study","prospective cohort","prospective","SOLID FOOD OR CEREAL","solid",">=3","<3","3","3to4","1",">=3",">=3","Rhinoconjunctivits","Ever AR","","atopic","AR","0to4","1","normal","low/normal","Other","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.25","0.19","","","-0.25","0.19","0.25","","0.25"
"Van Asperen","1983","Van Asperen","prospective cohort","prospective","SOLID FOOD","solid","> 4","< 4","4","3to4","1",">=4",">=4","RHINOCONJUNCTIVITIS","","","atopic","AR","0to4","1.3","high","high","Other","Other","Low","Low","","","","","","","","","","no significant difference","","","","","","","Low","OR","0.29","0.46","","","0.29","0.46","-0.29","","-0.29"
"Larsson","2008","Dampness in Buildings and Health (DBH)","prospective cohort","prospective","solid food","solid",">6 ","<3","3","3to4","1","long",">=6","Rhinoconjunctivits","any rhinitis symptoms in 2005 and no rhinitis smptoms at baseline","","atopic","AR","5to14","9","normal","low/normal","Low","Low","Low","Low","","","","","OR","0.74","0.32","1.68","","5-YRS INCEDENCE","OR","","","","ns","","Low","OR","-0.3","0.42","","","-0.3","0.42","0.3","","0.3"
"Zutavern","2008","LISA STUDY ","prospective cohort","prospective","First introduction of any solids","solid","Solids introduced by 4 months","4-6 months","4","3to4","2","medium","4TO6","Rhinoconjunctivits","DD AR","","atopic","AR","5to14","6","normal","low/normal","Low","Low","Low","Low","","","","","","","","","","","OR","1.12","0.42","2.99","","","Low","OR","","","0.11","0.5","0.11","0.5","","0.11","0.11"
"Chuang","2011","TaiwanBirth Cohort Study","prospective cohort","prospective","solid food","solid","<4","04-Jun","4","3to4","2","medium","4TO6","AD","","","atopic","AD","0to4","1.5","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.18","0.85","1.62","","","OR","1.11","0.8","1.53","","Considering the effect of maternal education on breastfeedingpractice and AD reported  we analyzed odds ratio ofAD beyond 6 months by maternal educational level inTable 4. After adjustment for potential confounders  prolongingbreastfeeding did not show the protective effect on ADamong 18 months children  even significantly increased therisk of AD in children whose mothers had high educationallevel.","Low","OR","0.17","0.16","0.1","0.16","0.1","0.16","0.17","0.1","0.1"
"Haileamlak","2005","Haileamlak  A.","case control","retrospective","age of initiation of weaning (not defined)","solid","<4","04-Jun","4","3to4","2","long",">=6","AD","AD","","atopic","AD","0to4","5","normal","low/normal","Other","Other","Low","Low","","","","","","","","","","","OR","0.76","0.51","1.13","","","Low","OR","","","-0.27","0.2","-0.27","0.2","","-0.27","-0.27"
"Mihrshahi","2007","Childhood ASTHMA Prevention Study (CAPS)","prospective cohort","prospective","SOLID FOOD","solid",">3","<3","3","3to4","1",">=3",">=3","AD","Ever AD","","atopic","AD","5to14","5","high","high","Low","Low","Low","Low","","","","","OR","0.56","0.32","0.97","","","OR","0.59","0.33","1.04","","","Low","OR","-0.58","0.28","-0.53","0.29","-0.53","0.29","0.58","0.53","0.53"
"Larsson","2008","Dampness in Buildings and Health (DBH)","prospective cohort","prospective","solid food","solid",">6 ","<3","3","3to4","1","long",">=6","AD","eczema ever and no eczema ever at baseline","","atopic","AD","5to14","9","normal","low/normal","Low","Low","Low","Low","","","","","OR","2.43","1.24","4.74","","5-YRS INCEDENCE","OR","2.76","1.35","5.67","","","Low","OR","0.89","0.34","1.02","0.37","1.02","0.37","-0.89","-1.02","-1.02"
"Hide","1981","The Isle of Wight Prevention study","prospective cohort","prospective","SOLID FOOD OR CEREAL","solid",">=3","<3","3","3to4","1",">=3",">=3","AD","Ever AD","","atopic","AD","0to4","1","normal","low/normal","Other","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.33","0.27","","","0.33","0.27","-0.33","","-0.33"
