"FirstAuthor","YearOfPublication","StudyName","Design","DesignGroup","Exposure","SpecificFood","FoodSubgroup","SpecificExposureGroup","MotherChildExposure","IfExposureIsCategorialReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureSizeGroup","ExposureCategories","ToReverseReferenceGroup","OutcomeGroup","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotenialConflictOfInterest","Col","Ncases","NumberExposedinCases","NumberNonExposedinCases","NumberExposedinControls","NumberNonExposedinControls","TotalNumberParticpantsWithOutcomesAndExposureDataInExposedGroup","NumberParticipantsWithTheOutcomeInExposed","TotalNumberParticpantsWithOutcomeAndExposureDataInNonExposedGroup","NumberParticipantsWithOutcomeInNonExposed","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Ci(Lower)","955CI(Upper)","Pvalue","Other","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","AdJ95%Ci(Lower)","AdJ95%Ci(Upper)","AdjPValue","FinalEffectMeasureAssociation(OrHrMeanDifference(B))","UnadjInOr(RawNmbersOrUnadjOrRrHr)","UnadjSe(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOr","AdjSe(InOr)","FinalInOr","FinalSe(InOr)","BackcalcUnadjOr","BackcalcUnadjLL95%CI","BackcalcAnadjUL95%CI","BackCalcAdjOr","BackcalcAdjLL95%CI","BackcalcAdjUL95%CI","BackcalcFinalOr","BackcalcFinalLL95%Cl","BackcalcFinalUL95%Cl","FinalEm","FUnadjInOr","FUnadjiSe(InOr)","FAdjInOr","FAdjSe(InOr)","FFinalInOr","FFinalSe(InOr)","FBackcalcUnadjOr","FBackcalcUnadjLL95%Cl","FBackcalcUnadjUL95%Cl","FBackcalcAdjOr","FBackcalcAdjLL95%Cl","FBackcalcAdjUL95%Cl","FBackcalcFinalOr","FBackcalcFinalLL95%Cl","FBackcalcFinalUL95%Cl"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Fatty acid","butter","ANIMAL- DAIRY- SATURATED","MATERNAL FAT INTAKE","mother-pregnancy-intake","Low","High maternal intake of butter during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","aero","sIgEaero","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","1350","63","752","40","","","","","","","OR","0.86","0.43","1.53","","OR","-0.137736024","0.20749581","-0.15082289","0.293923788","-0.15082289","0.293923788","0.871328671","0.580173657","1.308597251","0.86","0.483398693","1.53","0.86","0.483398693","1.53","OR","-0.137736024","0.20749581","-0.15082289","0.293923788","-0.15082289","0.293923788","0.871328671","0.580173657","1.308597251","0.86","0.483398693","1.53","0.86","0.483398693","1.53"
"Nwaru","2010","DIPP","prospective cohort","prospective","Specific food exposures - Maternal [pregnancy]","fat - n6","OMEGA 6- MUFA","MATERNAL FAT INTAKE","mother-pregnancy-intake","2nd and 3rd quartile of n-6 PUFA intake","4th quartile of n-6 PUFA intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","aero","sIgEaero","5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.76","0.53","1.1","","","OR","0.78","0.52","1.17","","OR","-0.274436846","0.188646442","-0.248461359","0.206869953","-0.248461359","0.206869953","0.76","0.525090909","1.1","0.78","0.52","1.17","0.78","0.52","1.17","OR","-0.274436846","0.188646442","-0.248461359","0.206869953","-0.248461359","0.206869953","0.76","0.525090909","1.1","0.78","0.52","1.17","0.78","0.52","1.17"
"Calvani","2006","APAL","retrospective cohort","retrospective","Fish intake","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","1 time/month or less","2-3 times/wk or more","oftenVSnever-rare","freq(times/week)","2=no","atopic","aero","SPTaero","5","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","","","","","","OR","0.57","0.32","1.03","","OR","","","-0.562118918","0.301876388","-0.562118918","0.301876388","1","1","1","0.57","0.315436893","1.03","0.57","0.315436893","1.03","OR","","","-0.562118918","0.301876388","-0.562118918","0.301876388","1","1","1","0.57","0.315436893","1.03","0.57","0.315436893","1.03"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Fatty acid","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Low","High maternal intake of fish during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","aero","sIgEaero","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","663","32","1457","70","","","","","","","OR","0.94","0.56","1.57","","OR","0.004833219","0.218726955","-0.061875404","0.261709706","-0.061875404","0.261709706","1.004844917","0.654507907","1.542706051","0.94","0.562802548","1.57","0.94","0.562802548","1.57","OR","0.004833219","0.218726955","-0.061875404","0.261709706","-0.061875404","0.261709706","1.004844917","0.654507907","1.542706051","0.94","0.562802548","1.57","0.94","0.562802548","1.57"
"Nwaru","2010","DIPP","prospective cohort","prospective","Specific food exposures - Maternal [pregnancy]","fat - n3","OMEGA 3- PUFA","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","2nd and 3rd quartile of n-3 PUFA intake","1st quartile of n-3 PUFA intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","aero","sIgEaero","5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.65","0.45","0.95","<0.01","","OR","0.67","0.44","1.02","","OR","-0.430782916","0.193617154","-0.400477567","0.21442867","-0.400477567","0.21442867","0.65","0.444736842","0.95","0.67","0.440098039","1.02","0.67","0.440098039","1.02","OR","-0.430782916","0.193617154","-0.400477567","0.21442867","-0.400477567","0.21442867","0.65","0.444736842","0.95","0.67","0.440098039","1.02","0.67","0.440098039","1.02"
"Nwaru","2010","DIPP","prospective cohort","prospective","Specific food exposures - Maternal [pregnancy]","fruits","ANY FRUIT","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","","","HighestVSLowest","continuous","2=no","atopic","aero","sIgEaero","5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.32","1.08","1.62","","Unit referred to in OR is not completely clear from the paper  but that stated in column M is implied in the Results section","OR","1.36","1.09","1.7","","OR","0.277631737","0.104486945","0.3074847","0.113848751","0.3074847","0.113848751","1.32","1.075555556","1.62","1.36","1.088","1.7","1.36","1.088","1.7","OR","0.277631737","0.104486945","0.3074847","0.113848751","0.3074847","0.113848751","1.32","1.075555556","1.62","1.36","1.088","1.7","1.36","1.088","1.7"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","apples","APPLE","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","aero","sIgEaero","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","734","30","1396","72","","","","","","","OR","0.87","0.52","1.47","","OR","-0.243834357","0.222256527","-0.139262067","0.267614525","-0.139262067","0.267614525","0.783617424","0.506892084","1.211414198","0.87","0.514897959","1.47","0.87","0.514897959","1.47","OR","-0.243834357","0.222256527","-0.139262067","0.267614525","-0.139262067","0.267614525","0.783617424","0.506892084","1.211414198","0.87","0.514897959","1.47","0.87","0.514897959","1.47"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","yoghurt","PROBIOTIC","MATERNAL PROBIOTIC","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","aero","sIgEaero","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","1153","48","981","55","","","","","","","OR","0.69","0.43","1.12","","OR","-0.312858554","0.202484672","-0.371063681","0.247138963","-0.371063681","0.247138963","0.731353353","0.491777691","1.087641297","0.69","0.425089286","1.12","0.69","0.425089286","1.12","OR","-0.312858554","0.202484672","-0.371063681","0.247138963","-0.371063681","0.247138963","0.731353353","0.491777691","1.087641297","0.69","0.425089286","1.12","0.69","0.425089286","1.12"
"Chatzi","2008","Menorca birth cohort","prospective cohort","prospective","Vegetables","vegetables","ANY VEGETABLE","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","<=8",">8","oftenVSnever-rare","freq(times/week)","2=no","atopic","aero","SPTaero","6.5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","0.4","0.22","0.72","","OR","","","-0.916290732","0.299891156","-0.916290732","0.299891156","1","1","1","0.4","0.222222222","0.72","0.4","0.222222222","0.72","OR","","","-0.916290732","0.299891156","-0.916290732","0.299891156","1","1","1","0.4","0.222222222","0.72","0.4","0.222222222","0.72"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","cabbage","GREEN- LEAFY VEGETABLES","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","aero","sIgEaero","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","831","43","1295","60","","","","","","","OR","1.16","0.71","1.9","","OR","0.116183713","0.204942023","0.148420005","0.25175198","0.148420005","0.25175198","1.1232022","0.751636348","1.678448874","1.16","0.708210526","1.9","1.16","0.708210526","1.9","OR","0.116183713","0.204942023","0.148420005","0.25175198","0.148420005","0.25175198","1.1232022","0.751636348","1.678448874","1.16","0.708210526","1.9","1.16","0.708210526","1.9"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","honey","HONEY","INFANT CONFECTIONERY INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","1=yes","atopic","any","SPTany","9","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","1.27","0.84","1.95","","","RR","1.22","0.8","1.86","","RR","0.2390169","0.218781874","0.198850859","0.215166137","0.198850859","0.215166137","1.27","0.827128205","1.95","1.22","0.800215054","1.86","1.22","0.800215054","1.86","RR","-0.2390169","0.218781874","-0.198850859","0.215166137","-0.198850859","0.215166137","0.787401575","0.512820513","1.209002418","0.819672131","0.537634409","1.249664069","0.819672131","0.537634409","1.249664069"
"Kull","2006","BAMSE","prospective cohort","prospective","FISH","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake","<=1 time/mo","> =2-3 time/mo","oftenVSnever-rare","freq(times/week)","2=no","atopic","any","sIgEany","4","any","low-normal","Low","Low","Low","Low","","","","","","2044","456","501","156","","","","","","","OR","0.66","0.53","0.82","","OR","-0.454049423","0.110143146","-0.415515444","0.110747197","-0.415515444","0.110747197","0.635051347","0.511744405","0.788069609","0.66","0.531219512","0.82","0.66","0.531219512","0.82","OR","-0.454049423","0.110143146","-0.415515444","0.110747197","-0.415515444","0.110747197","0.635051347","0.511744405","0.788069609","0.66","0.531219512","0.82","0.66","0.531219512","0.82"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","fruit syrup","FRUIT JUICE-SYRUP","INFANT FRUIT INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","1=yes","atopic","any","SPTany","9","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","1.02","0.76","1.37","","","RR","0.99","0.73","1.34","","RR","0.019802627","0.150514343","-0.010050336","0.154448954","-0.010050336","0.154448954","1.02","0.759416058","1.37","0.99","0.73141791","1.34","0.99","0.73141791","1.34","RR","-0.019802627","0.150514343","0.010050336","0.154448954","0.010050336","0.154448954","0.980392157","0.729927007","1.31680123","1.01010101","0.746268657","1.367207428","1.01010101","0.746268657","1.367207428"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","Non-milk fluids","ANY NON-MILK FLUID","INFANT NON-MILK FLUID INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","2=no","atopic","any","SPTany","9","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","1.39","0.87","2.22","","","RR","1.43","0.9","2.28","","RR","0.329303747","0.238879311","0.357674444","0.238010714","0.357674444","0.238010714","1.39","0.870315315","2.22","1.43","0.896885965","2.28","1.43","0.896885965","2.28","RR","0.329303747","0.238879311","0.357674444","0.238010714","0.357674444","0.238010714","1.39","0.870315315","2.22","1.43","0.896885965","2.28","1.43","0.896885965","2.28"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","milk","MILK","MATERNAL DAIRY INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","any","sIgEany","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","1445","171","689","92","","","","","","","OR","0.93","0.67","1.28","","OR","-0.138124743","0.138482814","-0.072570693","0.162974883","-0.072570693","0.162974883","0.870990035","0.663948258","1.14259452","0.93","0.675703125","1.28","0.93","0.675703125","1.28","OR","-0.138124743","0.138482814","-0.072570693","0.162974883","-0.072570693","0.162974883","0.870990035","0.663948258","1.14259452","0.93","0.675703125","1.28","0.93","0.675703125","1.28"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","egg","EGG","MATERNAL EGG INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","any","sIgEany","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","1568","192","563","71","","","","","","","OR","0.91","0.56","1.28","","OR","-0.033641807","0.148499511","-0.094310679","0.174066713","-0.094310679","0.174066713","0.966917786","0.72274353","1.293584743","0.91","0.646953125","1.28","0.91","0.646953125","1.28","OR","-0.033641807","0.148499511","-0.094310679","0.174066713","-0.094310679","0.174066713","0.966917786","0.72274353","1.293584743","0.91","0.646953125","1.28","0.91","0.646953125","1.28"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Fatty acid","butter","ANIMAL- DAIRY- SATURATED","MATERNAL FAT INTAKE","mother-pregnancy-intake","Low","High maternal intake of butter during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","any","sIgEany","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","1350","163","753","96","","","","","","","OR","0.97","0.66","1.42","","OR","-0.062098367","0.137536053","-0.030459207","0.194446979","-0.030459207","0.194446979","0.939790438","0.717724828","1.230563627","0.97","0.662605634","1.42","0.97","0.662605634","1.42","OR","-0.062098367","0.137536053","-0.030459207","0.194446979","-0.030459207","0.194446979","0.939790438","0.717724828","1.230563627","0.97","0.662605634","1.42","0.97","0.662605634","1.42"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Fatty acid","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Low","High maternal intake of fish during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","any","sIgEany","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","663","85","1458","177","","","","","","","OR","1.02","0.73","1.43","","OR","0.062323957","0.141156535","0.019802627","0.17238358","0.019802627","0.17238358","1.064307079","0.807071632","1.403530384","1.02","0.727552448","1.43","1.02","0.727552448","1.43","OR","0.062323957","0.141156535","0.019802627","0.17238358","0.019802627","0.17238358","1.064307079","0.807071632","1.403530384","1.02","0.727552448","1.43","1.02","0.727552448","1.43"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","apples","APPLE","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","any","sIgEany","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","734","92","1397","170","","","","","","","OR","1.07","0.77","1.49","","OR","0.033729281","0.138291527","0.067658648","0.168937485","0.067658648","0.168937485","1.034304563","0.788737185","1.356327493","1.07","0.768389262","1.49","1.07","0.768389262","1.49","OR","0.033729281","0.138291527","0.067658648","0.168937485","0.067658648","0.168937485","1.034304563","0.788737185","1.356327493","1.07","0.768389262","1.49","1.07","0.768389262","1.49"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","yoghurt","PROBIOTIC","MATERNAL PROBIOTIC","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","any","sIgEany","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","1154","132","981","132","","","","","","","OR","0.81","0.59","1.1","","OR","-0.185457584","0.131559283","-0.210721031","0.156138373","-0.210721031","0.156138373","0.83072407","0.641905758","1.075083799","0.81","0.596454545","1.1","0.81","0.596454545","1.1","OR","-0.185457584","0.131559283","-0.210721031","0.156138373","-0.210721031","0.156138373","0.83072407","0.641905758","1.075083799","0.81","0.596454545","1.1","0.81","0.596454545","1.1"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","cabbage","GREEN- LEAFY VEGETABLES","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","any","sIgEany","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","832","100","1295","164","","","","","","","OR","0.92","0.66","1.28","","OR","-0.05961928","0.135454252","-0.083381609","0.168490657","-0.083381609","0.168490657","0.942123151","0.722448159","1.228594773","0.92","0.66125","1.28","0.92","0.66125","1.28","OR","-0.05961928","0.135454252","-0.083381609","0.168490657","-0.083381609","0.168490657","0.942123151","0.722448159","1.228594773","0.92","0.66125","1.28","0.92","0.66125","1.28"
"Ivarsson","2002","Ivarsson  A. ","CASE CONTROL","retrospective","SPECIFIC FOOD INTAKE -CHILD","gluten","","INFANT GLUTEN INTAKE","infant-1st year-intake","<=16 grams /day",">16grams/day","HighestVSLowest","tertile-quartile-quintile","2=no","autoim","CD","CD","2","auto","low-normal","High","Unclear-high","Low","Low","392","188.16","203.84","212.84","413.16","","","","","OR","2","1.5","2.7","<0.001","","OR","1.5","1.1","2.1","","OR","0.693147181","0.153114588","0.405465108","0.171669508","0.405465108","0.171669508","2","1.481481481","2.7","1.5","1.071428571","2.1","1.5","1.071428571","2.1","OR","0.693147181","0.153114588","0.405465108","0.171669508","0.405465108","0.171669508","2","1.481481481","2.7","1.5","1.071428571","2.1","1.5","1.071428571","2.1"
"Myleus","2012","Myleus  A. ","CASE CONTROL","retrospective","SPECIFIC FOOD INTAKE - CHILD","GLUTEN FLOUR","","INFANT GLUTEN INTAKE","infant-1st year-intake","SMALL-MEDIUM <=16grams/day","LARGE > 16grams/day","HighestVSLowest","tertile-quartile-quintile","2=no","autoim","CD","CD","< 2","auto","low-normal","High","Unclear-high","Low","Low","373","184","189","208","273","","","","","","","","","","","OR","1.9","1.4","2.6","","OR","0.245122458","0.138551376","0.641853886","0.160029367","0.641853886","0.160029367","1.277777778","0.973908191","1.676457868","1.9","1.388461538","2.6","1.9","1.388461538","2.6","OR","0.245122458","0.138551376","0.641853886","0.160029367","0.641853886","0.160029367","1.277777778","0.973908191","1.676457868","1.9","1.388461538","2.6","1.9","1.388461538","2.6"
"Calvani (FH-)","2006","APAL","retrospective cohort","retrospective","Fish intake","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","1 time/month or less","2-3 times/wk or more","oftenVSnever-rare","freq(times/week)","2=no","atopic","cm","SPTcm","5","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","","","","","","OR","0.05","0","0.54","","OR","","","-2.995732274","1.21405415","-2.995732274","1.21405415","1","1","1","0.05","0.00462963","0.54","0.05","0.00462963","0.54","OR","","","-2.995732274","1.21405415","-2.995732274","1.21405415","1","1","1","0.05","0.00462963","0.54","0.05","0.00462963","0.54"
"Sicherer","2010","The Consortium of Food Allergy Research","prospective cohort","prospective","EGG-PREGNANCY","egg","EGG","MATERNAL EGG INTAKE","mother-pregnancy-intake","<2",">=2","oftenVSnever-rare","freq(times/week)","2=no","atopic","egg","sIgEegg","1","any","high","Low","Low","High","Unclear-High","","","","","","","","","","OR","1.53","1.03","2.25","","","OR","1.75","","","0.026","OR","0.425267735","0.196766572","","","0.425267735","0.196766572","1.53","1.0404","2.25","1","1","1","1.53","1.0404","2.25","OR","0.425267735","0.196766572","","","0.425267735","0.196766572","1.53","1.0404","2.25","1","1","1","1.53","1.0404","2.25"
"Calvani (FH-)","2006","APAL","retrospective cohort","retrospective","Fish intake","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","1 time/month or less","2-3 times/wk or more","oftenVSnever-rare","freq(times/week)","2=no","atopic","egg","SPTegg","5","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","OR","","","","","","OR","0.33","0.1","1.07","","OR","","","-1.108662625","0.600163915","-1.108662625","0.600163915","1","1","1","0.33","0.101775701","1.07","0.33","0.101775701","1.07","OR","","","-1.108662625","0.600163915","-1.108662625","0.600163915","1","1","1","0.33","0.101775701","1.07","0.33","0.101775701","1.07"
"DesRoches","2010","DesRoches  A. ","CASE CONTROL","retrospective","SPECIFIC FOOD INTAKE-MOTHER LACTATION","allergenic food avoidance (egg)","EGG","MATERNAL EGG INTAKE","mother-lactation-intake","no consumption during pregnancy=yes avoidence","consumption during pregnancy =no avoidence","oftenVSnever-rare","yes-no","1=yes","atopic","FApn","","<1.5","0to4","low-normal","High","Unclear-high","Low","Low","161","159","2","155","5","","","","","","","","","","","OR","1.27","0.67","2.38","","OR","0.941769817","0.844239848","0.2390169","0.32045081","0.2390169","0.32045081","2.564516129","0.490200746","13.41642791","1.27","0.677689076","2.38","1.27","0.677689076","2.38","OR","-0.941769817","0.844239848","-0.2390169","0.32045081","-0.2390169","0.32045081","0.389937107","0.074535488","2.039980574","0.787401575","0.420168067","1.475602951","0.787401575","0.420168067","1.475602951"
"Lack","2003","ALSPAC","prospective cohort","prospective","Soybean meat","allergenic food avaoidence (soybean meat)","LEGUMES","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","NO intake","YES-intake","oftenVSnever-rare","yes-no","2=no","atopic","FApn","","5.5","5to14","low-normal","High","Unclear-high","Low","Low","","","","","","877","1","10475","22","OR","0.54","0.07","4.02","","","","","","","NOT TESTED","OR","-0.616186139","1.024218389","","","-0.616186139","1.024218389","0.54","0.072537313","4.02","","","","0.54","0.072537313","4.02","OR","-0.616186139","1.024218389","","","-0.616186139","1.024218389","0.54","0.072537313","4.02","","","","0.54","0.072537313","4.02"
"Binkley","2011","Binkley  K. E. ","CASE CONTROL","retrospective","SPECIFIC FOOD INTAKE - MATERNAL","allergenic food avoidance (peanut)","NUTS","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","reduced intake of peanuts/peanut products -none","reduced intake of peanuts/peanut products during pregnancy - 'completely' ","oftenVSnever-rare","yes-no","1=yes","atopic","FApn","","5to14","5to14","high","High","Unclear-high","Low","Low","1300","71","1013","11","82","","","","","OR","0.53","0.27","1.03","","","","","","","","OR","-0.634878272","0.338998507","","","-0.634878272","0.338998507","0.53","0.272718447","1.03","","","","0.53","0.272718447","1.03","OR","0.634878272","0.338998507","","","0.634878272","0.338998507","1.886792453","0.970873786","3.666785333","","","","1.886792453","0.970873786","3.666785333"
"DesRoches","2010","DesRoches  A. ","CASE CONTROL","retrospective","SPECIFIC FOOD INTAKE-MOTHER LACTATION","allergenic food avoidance (nut)","NUTS","MATERNAL VEGETABLE INTAKE","mother-lactation-intake","no consumption during pregnancy=yes avoidence","consumption during pregnancy =no avoidence","oftenVSnever-rare","yes-no","1=yes","atopic","FApn","","<1.5","0to4","low-normal","High","Unclear-high","Low","Low","160","132","28","110","49","","","","","","","","","","","OR","1.5","0.9","2.52","","OR","0.741937345","0.26979458","0.405465108","0.264690711","0.405465108","0.264690711","2.1","1.237557856","3.563469762","1.5","0.892857143","2.52","1.5","0.892857143","2.52","OR","-0.741937345","0.26979458","-0.405465108","0.264690711","-0.405465108","0.264690711","0.476190476","0.280625364","0.80804303","0.666666667","0.396825397","1.12","0.666666667","0.396825397","1.12"
"Fox","2009","Fox  A. T.","CASE CONTROL","retrospective","SPECIFIC FOOD INTAKE - MATERNAL","peanut","NUTS","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","no peanut consumption in pregnancy","15+","oftenVSnever-rare","tertile-quartile-quintile","2=no","atopic","FApn","","<4","0to4","low-normal","Unclear","Unclear-high","Unclear","Unclear-High","133","","","","","","","","","OR","1.19","0.6","2.4","","","","","","","","OR","0.173953307","0.357916036","","","0.173953307","0.357916036","1.19","0.590041667","2.4","","","","1.19","0.590041667","2.4","OR","0.173953307","0.357916036","","","0.173953307","0.357916036","1.19","0.590041667","2.4","","","","1.19","0.590041667","2.4"
"Nwaru","2010","DIPP ","prospective cohort","prospective","age at introduction to FRUITS AND BERRIES","fruits and berries","FRUIT","INFANT FRUIT INTRODUCTION","infant-1st year-intro","< 3.46",">4","0to4","categ(months)","2=no","atopic","food","sIgEfood","5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.41","0.91","2.19","","","OR","1.7","1","2.9","","OR","0.343589704","0.224648898","0.530628251","0.272491064","0.530628251","0.272491064","1.41","0.907808219","2.19","1.7","0.996551724","2.9","1.7","0.996551724","2.9","OR","0.343589704","0.224648898","0.530628251","0.272491064","0.530628251","0.272491064","1.41","0.907808219","2.19","1.7","0.996551724","2.9","1.7","0.996551724","2.9"
"Nwaru","2010","DIPP ","prospective cohort","prospective","age at introduction to POTATOES","potatoes","POTATO-CARROT-ROOT VEGETABLES","INFANT VEGETABLE INTRODUCTION","infant-1st year-intro","<3.1",">4","0to4","categ(months)","2=no","atopic","food","sIgEfood","5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.74","1.12","2.7","","","OR","2.56","1.49","4.39","","OR","0.553885113","0.224166663","0.940007258","0.27516427","0.940007258","0.27516427","1.74","1.121333333","2.7","2.56","1.49284738","4.39","2.56","1.49284738","4.39","OR","0.553885113","0.224166663","0.940007258","0.27516427","0.940007258","0.27516427","1.74","1.121333333","2.7","2.56","1.49284738","4.39","2.56","1.49284738","4.39"
"Nwaru","2010","DIPP ","prospective cohort","prospective","age at introduction to RED MEET","meat","","INFANT MEAT INTRODUCTION","infant-1st year-intro","<5.1",">5.5","5to7","categ(months)","2=no","atopic","food","sIgEfood","5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.35","0.94","1.95","","","OR","1.65","1.07","2.55","","OR","0.300104592","0.187614684","0.500775288","0.222101057","0.500775288","0.222101057","1.35","0.934615385","1.95","1.65","1.067647059","2.55","1.65","1.067647059","2.55","OR","0.300104592","0.187614684","0.500775288","0.222101057","0.500775288","0.222101057","1.35","0.934615385","1.95","1.65","1.067647059","2.55","1.65","1.067647059","2.55"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","milk","MILK","MATERNAL DAIRY INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","food","sIgEfood","2","any","low-normal","Unclear","Unclear-high","Low","Low","","","","","","1450","129","691","70","","","","","","","OR","0.95","0.66","1.37","","OR","-0.14349606","0.156220871","-0.051293294","0.186787773","-0.051293294","0.186787773","0.866324213","0.637826506","1.176679921","0.95","0.658759124","1.37","0.95","0.658759124","1.37","OR","-0.14349606","0.156220871","-0.051293294","0.186787773","-0.051293294","0.186787773","0.866324213","0.637826506","1.176679921","0.95","0.658759124","1.37","0.95","0.658759124","1.37"
